id,sex,username,password,email,phone,face_url,grade,department
211706024,男,中二#205,202cb962ac59075b964b07152d234b70,123450024@mail.com,17720760024,,2017,计算机工程系
211706025,男,中二#206,202cb962ac59075b964b07152d234b70,123450025@mail.com,17720760025,,2017,计算机工程系
211706026,男,中二#207,202cb962ac59075b964b07152d234b70,123450026@mail.com,17720760026,,2017,计算机工程系
211706027,男,中二#208,202cb962ac59075b964b07152d234b70,123450027@mail.com,17720760027,,2017,计算机工程系
211706028,男,中二#209,202cb962ac59075b964b07152d234b70,123450028@mail.com,17720760028,,2017,计算机工程系
211706029,男,中二#210,202cb962ac59075b964b07152d234b70,123450029@mail.com,17720760029,,2017,计算机工程系
211706030,男,中二#213,202cb962ac59075b964b07152d234b70,123450030@mail.com,17720760030,,2017,计算机工程系
211706031,男,中二#214,202cb962ac59075b964b07152d234b70,123450031@mail.com,17720760031,,2017,计算机工程系
211706032,男,中二#215,202cb962ac59075b964b07152d234b70,123450032@mail.com,17720760032,,2017,计算机工程系
211706033,男,中二#216,202cb962ac59075b964b07152d234b70,123450033@mail.com,17720760033,,2017,计算机工程系
211706034,男,中二#217,202cb962ac59075b964b07152d234b70,123450034@mail.com,17720760034,,2017,计算机工程系
211706035,男,中二#218,202cb962ac59075b964b07152d234b70,123450035@mail.com,17720760035,,2017,计算机工程系
211706036,男,中二#219,202cb962ac59075b964b07152d234b70,123450036@mail.com,17720760036,,2017,计算机工程系
211706037,男,中二#220,202cb962ac59075b964b07152d234b70,123450037@mail.com,17720760037,,2017,计算机工程系
211706038,男,中二#221,202cb962ac59075b964b07152d234b70,123450038@mail.com,17720760038,,2017,计算机工程系
211706039,男,中二#222,202cb962ac59075b964b07152d234b70,123450039@mail.com,17720760039,,2017,计算机工程系
211706040,男,中二#223,202cb962ac59075b964b07152d234b70,123450040@mail.com,17720760040,,2017,计算机工程系
211706041,男,中二#224,202cb962ac59075b964b07152d234b70,123450041@mail.com,17720760041,,2017,计算机工程系
211706042,男,中二#225,202cb962ac59075b964b07152d234b70,123450042@mail.com,17720760042,,2017,计算机工程系
211706043,男,中二#301,202cb962ac59075b964b07152d234b70,123450043@mail.com,17720760043,,2017,计算机工程系
211706044,男,中二#302,202cb962ac59075b964b07152d234b70,123450044@mail.com,17720760044,,2017,计算机工程系
211706045,男,中二#303,202cb962ac59075b964b07152d234b70,123450045@mail.com,17720760045,,2017,计算机工程系
211706046,男,中二#304,202cb962ac59075b964b07152d234b70,123450046@mail.com,17720760046,,2017,计算机工程系
211706047,男,中二#305,202cb962ac59075b964b07152d234b70,123450047@mail.com,17720760047,,2017,计算机工程系
211706048,男,中二#306,202cb962ac59075b964b07152d234b70,123450048@mail.com,17720760048,,2017,计算机工程系
211706049,男,中二#307,202cb962ac59075b964b07152d234b70,123450049@mail.com,17720760049,,2017,计算机工程系
211706050,男,中二#308,202cb962ac59075b964b07152d234b70,123450050@mail.com,17720760050,,2017,计算机工程系
211706051,男,中二#309,202cb962ac59075b964b07152d234b70,123450051@mail.com,17720760051,,2017,计算机工程系
211706052,男,中二#310,202cb962ac59075b964b07152d234b70,123450052@mail.com,17720760052,,2017,计算机工程系
211706053,男,中二#313,202cb962ac59075b964b07152d234b70,123450053@mail.com,17720760053,,2017,计算机工程系
211706054,男,中二#314,202cb962ac59075b964b07152d234b70,123450054@mail.com,17720760054,,2017,计算机工程系
211706055,男,中二#325,202cb962ac59075b964b07152d234b70,123450055@mail.com,17720760055,,2017,计算机工程系
211706056,男,中二#411,202cb962ac59075b964b07152d234b70,123450056@mail.com,17720760056,,2017,计算机工程系
211706057,女,东二#410,202cb962ac59075b964b07152d234b70,123450057@mail.com,17720760057,,2017,计算机工程系
211706058,女,东二#411,202cb962ac59075b964b07152d234b70,123450058@mail.com,17720760058,,2017,计算机工程系
211706059,女,东二#412,202cb962ac59075b964b07152d234b70,123450059@mail.com,17720760059,,2017,计算机工程系
211706060,女,东二#413,202cb962ac59075b964b07152d234b70,123450060@mail.com,17720760060,,2017,计算机工程系
211706061,女,东二#414,202cb962ac59075b964b07152d234b70,123450061@mail.com,17720760061,,2017,计算机工程系
211706062,女,东二#415,202cb962ac59075b964b07152d234b70,123450062@mail.com,17720760062,,2017,计算机工程系
211706063,女,东二#416,202cb962ac59075b964b07152d234b70,123450063@mail.com,17720760063,,2017,计算机工程系
211706064,女,东二#417,202cb962ac59075b964b07152d234b70,123450064@mail.com,17720760064,,2017,计算机工程系
211706065,女,东二#418,202cb962ac59075b964b07152d234b70,123450065@mail.com,17720760065,,2017,计算机工程系
211706066,女,东二#419,202cb962ac59075b964b07152d234b70,123450066@mail.com,17720760066,,2017,计算机工程系
211706067,女,东二#421,202cb962ac59075b964b07152d234b70,123450067@mail.com,17720760067,,2017,计算机工程系
211706068,女,东二#422,202cb962ac59075b964b07152d234b70,123450068@mail.com,17720760068,,2017,计算机工程系
211706069,女,东二#423,202cb962ac59075b964b07152d234b70,123450069@mail.com,17720760069,,2017,计算机工程系
211706070,女,东二#424,202cb962ac59075b964b07152d234b70,123450070@mail.com,17720760070,,2017,计算机工程系
211706071,女,东二#425,202cb962ac59075b964b07152d234b70,123450071@mail.com,17720760071,,2017,计算机工程系
211706072,女,东二#426,202cb962ac59075b964b07152d234b70,123450072@mail.com,17720760072,,2017,计算机工程系
